audio_file,annotation,high_f,low_f,start_time,end_time
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB02-060709-015107.wav,40Hz,79,58,63.933,65.802
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB03-060709-140000.wav,D,63,23,65.07,68.077
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB03-060709-140000.wav,D,64,24,72.058,77.015
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB03-060709-140000.wav,D,64,24,72.058,77.015
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB03-060709-140000.wav,D,81,27,88.716,94.323
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB03-060709-140000.wav,D,87,26,130.433,135.146
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB03-060709-140000.wav,D,73,27,157.107,162.308
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB03-060709-140000.wav,D,73,27,157.107,162.308
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB03-060709-140000.wav,D,76,28,197.513,203.933
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB03-060709-140000.wav,D,76,28,197.513,203.933
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB03-060709-140000.wav,D,75,27,219.615,226.116
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB03-060709-140000.wav,D,71,25,301.17,306.777
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB03-060709-140000.wav,D,72,44,333.754,338.142
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB03-060709-140000.wav,D,72,44,333.754,338.142
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB03-060709-140000.wav,D,70,25,398.163,403.12
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB03-060709-142000.wav,D,73,45,10.363,13.207
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB03-060709-142000.wav,D,73,45,10.363,13.207
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB03-060709-143240.wav,D,73,24,255.482,260.032
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB03-060709-143240.wav,D,73,24,255.482,260.032
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB03-060709-152000.wav,D,61,30,330.525,334.426
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB04-060709-184405.wav,D,68,37,65.65,69.144
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB04-060709-184405.wav,D,68,37,65.65,69.144
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB04-060709-184405.wav,D,82,38,107.822,112.373
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB04-060709-184405.wav,D,82,38,107.822,112.373
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB04-060709-184405.wav,40Hz,91,28,227.6,229.713
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB04-060709-190000.wav,D,57,28,231.5,234.751
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB04-060709-190000.wav,D,57,28,231.5,234.751
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB04-060709-191000.wav,D,63,30,445.558,448.889
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB04-060709-191000.wav,D,63,30,445.558,448.889
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB04-060709-191000.wav,D,57,35,478.57,481.089
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB04-060709-193000.wav,D,65,29,136.121,139.209
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB04-060709-193000.wav,D,65,29,136.121,139.209
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB04-060709-193000.wav,D,69,28,179.464,183.201
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB04-060709-193000.wav,D,71,45,209.691,212.048
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB04-060709-193000.wav,D,68,36,320.52,323.039
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB04-060709-193000.wav,D,68,36,320.52,323.039
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB04-060709-194000.wav,D,63,26,537.503,540.672
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB04-060709-195000.wav,D,63,25,76.213,81.982
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB04-060709-195000.wav,D,70,33,121.576,126.127
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB05-060709-231000.wav,D,74,33,215.969,220.195
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB05-060709-232000.wav,D,71,47,339.057,342.551
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB05-060710-000000.wav,D,92,33,402.47,407.914
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB12-060713-000000.wav,40Hz,99,46,59.17,60.694
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB13-060713-195000.wav,D,56,33,305.007,308.49
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB13-060713-200000.wav,40Hz,94,63,541.347,548.639
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB14-060714-014000.wav,40Hz,50,31,322.849,324.191
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB14-060714-014000.wav,40Hz,66,40,449.315,450.718
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB14-060714-014000.wav,40Hz,66,40,452.732,454.928
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB14-060714-014000.wav,40Hz,60,40,456.636,458.649
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB14-060714-014000.wav,40Hz,55,41,456.636,458.71
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB14-060714-014000.wav,40Hz,60,37,473.474,475.487
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB14-060714-014000.wav,40Hz,54,38,473.596,475.365
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB14-060714-015000.wav,40Hz,59,37,101.7,103.469
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB14-060714-015000.wav,40Hz,36,21,109.92,111.873
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB14-060714-015000.wav,40Hz,44,20,112.849,114.862
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB14-060714-015000.wav,40Hz,53,18,115.167,117.363
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB14-060714-015000.wav,40Hz,53,18,115.167,117.363
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB14-060714-015000.wav,40Hz,51,24,121.878,124.074
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB14-060714-015000.wav,40Hz,65,21,125.233,127.063
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB14-060714-015000.wav,40Hz,63,42,126.514,127.856
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB14-060714-015000.wav,40Hz,58,28,272.854,275.233
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB14-060714-015000.wav,40Hz,58,28,272.854,275.233
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB14-060714-015000.wav,40Hz,61,28,275.782,277.185
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0607-SB14-060714-015000.wav,40Hz,53,24,361.39,363.525
