audio_file,annotation,high_f,low_f,start_time,end_time
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS19B_d06_121030_215730.d100.x.wav,D,69,33,180188.233,180192.243
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS19B_d06_121030_215730.d100.x.wav,40Hz,55,32,222197.678,222199.181
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS19B_d06_121030_215730.d100.x.wav,D,77,36,247192.059,247195.747
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS19B_d06_121030_215730.d100.x.wav,D,66,27,254366.008,254369.624
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS19B_d06_121030_215730.d100.x.wav,D,70,28,273171.107,273175.225
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS19B_d06_121030_215730.d100.x.wav,40Hz,61,43,273661.823,273663.864
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS19B_d06_121030_215730.d100.x.wav,D,77,33,277091.713,277094.721
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS19B_d06_121030_215730.d100.x.wav,D,68,35,278392.642,278396.58
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS19B_d06_121030_215730.d100.x.wav,D,71,30,286690.13,286693.747
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS19B_d06_121030_215730.d100.x.wav,D,68,44,286780.13,286782.959
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS19B_d06_121030_215730.d100.x.wav,D,68,38,286807.302,286811.455
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS19B_d06_121030_215730.d100.x.wav,D,66,37,286835.01,286839.737
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS19B_d06_121030_215730.d100.x.wav,D,67,29,286923.685,286927.66
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS19B_d06_121030_215730.d100.x.wav,D,64,28,287710.534,287713.291
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS19B_d06_121030_215730.d100.x.wav,D,66,35,287774.903,287779.236
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS19B_d06_121030_215730.d100.x.wav,D,60,25,288077.195,288080.561
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS19B_d06_121030_215730.d100.x.wav,D,71,43,292605.251,292608.76
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS19B_d06_121030_215730.d100.x.wav,D,71,38,292622.54,292626.944
