audio_file,annotation,high_f,low_f,start_time,end_time
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121115_054102.d100.x.wav,40Hz,72,46,9076.344,9077.482
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,90,76,66925.925,66940.86
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,91,76,67562.11,67574.61
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,92,75,67815.998,67830.315
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,90,74,69367.633,69384.857
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,92,73,76637.488,76654.203
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,86,71,80260.431,80277.836
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,90,69,81153.672,81170.206
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,92,69,84298.431,84313.184
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,95,71,85732.472,85749.841
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,94,76,87268.394,87285.219
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,97,76,87607.341,87627.29
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,90,70,89091.527,89109.986
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,94,70,89182.072,89200.24
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,94,71,89608.14,89624.928
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,93,72,91523.162,91540.822
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,90,73,91754.397,91770.567
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,92,74,91775.996,91792.421
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,90,76,92113.235,92127.188
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,94,71,92172.762,92191.258
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,90,74,92280.691,92296.352
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,88,73,92453.38,92468.423
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,91,75,92636.905,92656.199
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,92,74,92823.889,92842.275
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,90,73,92867.559,92885.255
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,89,74,93017.595,93032.639
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,89,70,93116.178,93134.564
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,89,75,93199.049,93214.128
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,92,73,93701.89,93720.059
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,91,73,93876.723,93892.493
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,91,74,94036.105,94053.801
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,89,74,94170.764,94187.442
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,89,74,94523.671,94538.605
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,93,69,94731.6,94748.968
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,88,73,95120.473,95136.171
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,90,71,95287.268,95304.02
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,90,75,95422.508,95439.078
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,93,74,95494.579,95509.477
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,91,76,95587.341,95603.038
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,93,72,96194.761,96210.531
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,92,74,96657.014,96674.528
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,91,72,96818.104,96834.674
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,90,74,96959.165,96976.788
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\DCPP01A_d01_121109_191242.d100.x.wav,A NE Pacific,90,71,97103.089,97120.604
